,S001,S005,S008,S009,S010,S011,S013,S018,S019,S021,S023,S024,S025,S026,S027,S028,S029,S033,S034,S037,S044,S046,S049,S064,S065,S066,S069,S070,S072,S081,S082,S083,S084,S086,S090,S094,S098,S100,S107
Haloplanus rubicundus,0,10,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,10,0,5,0,0,0,0,5,0,0,5,0,0,0,0,10,0,0,5,5,0,5
Halorubrum ezzemoulense,0,0,5,0,0,0,0,0,5,5,10,0,0,5,10,0,0,0,0,0,0,5,5,5,0,0,0,0,5,0,0,0,5,0,0,5,0,0,0
Halosegnis sp. ZY10,0,0,0,0,0,10,0,0,0,0,0,0,0,5,0,5,0,0,0,5,0,0,0,5,5,5,0,0,5,0,0,0,0,0,0,10,0,5,0
Natronomonas sp. ZY43,0,10,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,5,0,5,5,0,0,0,0,5,0,0,0,5,0,5
Halalkalicoccus jeotgali,0,0,5,0,0,0,0,0,5,0,0,0,0,0,5,5,5,10,0,5,0,0,0,5,0,0,0,5,5,5,0,5,0,0,0,0,0,5,0
Halobacterium sp. Gai3-17,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,10,10,5,0,0,5,0,0,5,0,5,0,5,0,0,0,0,0,0,0,10,5
Methanofollis formosanus,0,5,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,5,0,0,0,0,0,5,0,0,0,0,10,5,5,0
Methanofollis liminatans,0,5,0,0,0,0,15,10,0,0,0,0,5,0,0,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5
Halorubrum sp. 1-13-28,0,0,5,5,20,0,0,0,5,0,0,0,0,0,5,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,5
Halobaculum sp. DT92,0,0,0,0,0,5,0,0,10,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,5,0,0,5,0,5,0,0,0,0,0,10,5,5
Halosimplex pelagicum,0,10,0,0,0,5,0,0,10,0,5,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,5,0,0,5,0,5,0,5,0,0,5,0
