,S001,S009,S005,S008,S010,S011,S013,S019,S018,S021,S023,S024,S025,S026,S027,S028,S029,S034,S033,S037,S044,S046,S049,S064,S065,S066,S069,S070,S072,S081,S082,S083,S084,S086,S090,S094,S098,S100,S107
qhpA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1
rnfA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0
rnfB,1,6,5,3,1,7,2,9,2,5,4,8,9,7,12,20,3,6,4,10,2,10,9,7,19,14,12,17,11,9,14,10,5,6,9,12,12,6,4
rnfC,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,1,0,2,0,0,0,3,0,0,0,0
rnfD,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,1,0,0,2,0,2,0,0,0,3,2,2,0,1,0,0,0,0,2,4,0,4,1
rnfE,3,4,3,4,4,4,4,7,6,3,5,5,4,9,6,15,3,6,4,5,4,5,5,5,12,15,11,16,13,17,13,10,7,11,15,11,9,12,3
rnfG,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,2,0,0,0,0,1,0,1,1,2,0,0,0,1,2,0,2,0,0,2,0,0,1,0
serA,4,4,23,41,6,30,5,26,29,17,20,33,18,38,26,39,8,16,21,33,14,34,36,35,80,85,60,67,58,64,46,59,45,50,40,60,45,66,37
serB,7,9,20,15,6,19,2,14,7,11,13,42,20,21,16,47,20,15,17,13,12,27,25,20,34,34,27,42,30,31,20,35,26,20,41,41,41,26,13
serC,0,4,2,2,1,4,1,2,0,5,5,5,2,7,6,10,4,5,6,8,0,4,6,6,10,10,9,15,10,14,9,5,10,8,8,7,7,8,6
thrH,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
tmm,0,0,3,3,0,0,0,1,2,1,0,5,0,6,1,3,1,0,3,1,0,0,2,2,1,1,2,4,1,2,5,1,1,4,1,0,2,4,1
torA,0,0,2,2,0,2,1,3,7,1,4,5,1,7,4,6,3,4,2,5,0,9,7,3,17,5,12,15,16,12,12,6,8,4,3,4,4,8,10
torC,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,1
torD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
torY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
torZ,0,0,0,1,2,1,0,1,0,0,0,3,2,2,3,1,2,0,3,2,0,4,5,4,5,11,2,1,3,7,4,4,2,3,0,4,3,2,3
vhcA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,1,0
vhcD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vhcG,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0
vhtG,0,0,0,2,0,0,0,0,2,1,2,0,0,1,1,2,1,0,1,3,0,0,1,0,2,2,4,12,5,9,4,0,0,4,1,2,1,1,1
vhuA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vhuG,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
xoxF1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,1,0,1,0,1,2,0,0,0,1,0,0,2,0,2,0,2,0,0,0,0,1,2,2
xoxF2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
xoxF4,0,0,0,2,0,1,0,2,6,0,3,0,0,3,1,3,1,0,0,3,0,0,1,0,5,1,5,0,2,5,6,4,5,0,1,0,2,1,4
xoxF5,0,0,4,8,0,8,0,17,11,2,6,0,1,10,12,17,2,4,2,22,1,6,7,9,23,16,26,13,11,43,38,31,43,8,6,0,6,16,18
NR,0,13,20,2,1,20,1,16,24,5,23,3,11,31,14,16,5,8,5,14,5,6,27,9,44,65,28,54,23,43,29,31,32,22,6,30,26,37,20
amoA_A,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
amoA_B,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
amoB_A,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
amoB_B,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
amoC_A,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
amoC_B,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
ansB,2,0,3,1,1,1,2,7,2,2,2,4,2,4,0,6,4,2,3,1,1,6,5,1,4,1,4,5,4,6,3,6,6,3,2,4,3,3,3
asnB,3,11,18,6,1,25,4,26,28,1,21,12,18,35,24,53,18,17,14,54,6,19,37,11,76,60,69,64,44,75,52,59,50,29,18,38,49,75,23
gdh_K00260,0,1,0,1,0,0,0,0,2,0,1,2,0,1,0,2,1,0,2,1,0,1,0,0,1,1,0,0,1,1,0,1,1,2,0,1,1,0,0
gdh_K00261,0,8,9,0,1,14,0,3,11,4,14,6,4,9,17,24,5,11,8,14,1,14,14,9,24,28,13,19,13,15,21,18,10,13,6,18,15,21,10
gdh_K00262,2,9,8,1,2,5,0,4,14,2,9,3,7,13,6,10,1,7,4,13,0,7,12,4,22,20,8,23,23,19,14,14,6,14,4,6,15,16,0
gdh_K15371,0,25,14,1,2,32,0,6,9,14,15,14,8,20,16,35,9,15,11,10,3,9,13,4,25,22,22,33,18,25,26,26,13,17,27,11,26,20,9
glnA,1,65,46,3,5,81,5,31,54,28,46,55,26,59,66,105,34,52,48,44,7,40,74,42,90,85,76,93,51,83,64,74,42,58,39,72,87,91,45
glsA,2,10,14,3,4,20,6,10,14,6,13,14,7,15,20,33,4,14,10,21,5,19,19,11,24,29,23,25,26,27,25,28,19,17,17,35,16,27,10
gs_K00264,0,2,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,2,0,1,2,1,2,2,1,2,2,0,0,3,0,0
gs_K00265,0,21,19,3,1,26,7,6,12,16,18,25,9,25,19,26,5,13,21,21,6,21,17,17,33,35,28,42,35,51,31,32,25,25,35,30,20,37,4
gs_K00266,2,25,32,4,3,48,2,30,38,20,24,30,17,40,34,52,21,18,33,46,7,33,37,29,82,59,57,73,45,77,76,52,47,45,35,46,42,67,29
gs_K00284,1,9,9,0,0,4,0,8,10,6,9,4,4,6,8,10,4,12,3,3,2,12,5,8,19,10,5,7,3,7,3,8,2,6,1,13,8,7,4
hao,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,2,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0
hcp,0,1,0,0,0,0,0,0,1,0,0,1,3,1,0,1,0,0,0,0,0,2,0,0,1,2,1,0,2,1,2,0,0,1,3,3,2,0,0
hzo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hzsA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hzsB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hzsC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nao,0,0,0,0,0,0,1,0,1,2,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,2,0,2,0
napA,0,2,4,0,0,6,0,5,3,2,3,2,3,2,3,3,1,6,3,5,0,1,2,1,6,2,7,6,1,1,7,1,7,5,3,3,2,3,1
napB,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
napC,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,3,0,0,0,0
narB,0,8,7,3,3,4,1,10,6,4,4,5,5,13,7,8,0,4,6,5,2,7,8,12,12,15,10,17,17,12,10,17,11,9,7,7,5,13,4
narC,0,0,2,0,0,4,0,0,1,1,0,0,2,3,1,7,0,3,4,3,1,2,5,2,4,4,1,8,1,3,4,2,0,1,0,0,3,1,2
narG,0,0,1,2,0,2,0,4,2,5,2,5,6,1,1,6,3,1,3,9,0,8,5,6,3,5,2,3,2,4,2,5,1,5,7,6,8,4,7
narH,0,1,0,0,0,1,0,2,0,1,1,2,1,2,3,1,0,2,2,7,0,2,2,0,1,3,3,5,3,4,5,4,2,2,4,2,2,1,5
narI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,1,0,0,1,1,1,2,0,1,2,1,0,2,2,3,2,2,0
narJ,0,0,1,1,0,0,0,0,1,1,1,4,1,1,0,1,1,0,0,1,0,2,0,0,3,2,1,2,1,4,1,5,2,2,4,1,5,0,0
narW,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
narY,0,0,1,0,0,0,0,1,1,3,2,3,0,0,0,2,0,1,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,3,0,1,4,0,0
narZ,1,2,3,1,0,2,1,0,3,2,3,6,1,0,0,2,5,2,2,2,2,3,0,4,4,9,7,2,1,3,4,6,0,4,3,4,5,3,1
nasA,1,10,15,1,2,15,2,12,15,7,10,12,2,21,18,22,9,12,11,13,4,21,17,17,32,19,14,29,12,34,33,18,27,18,14,15,10,16,20
nasB,0,0,2,0,1,5,0,0,0,2,1,4,0,4,0,10,0,2,0,0,1,2,0,1,1,3,1,5,0,2,1,1,4,5,0,4,5,5,1
nifD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,1,0,0
nifH,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0
nifK,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0
nirA,0,6,9,4,1,11,0,5,6,4,4,11,1,7,8,13,6,8,4,6,1,4,12,7,18,9,11,19,10,25,22,23,11,5,11,4,11,16,10
nirB,5,15,10,7,5,20,8,6,8,10,11,25,7,20,15,25,11,14,9,10,4,14,20,20,41,26,31,40,22,36,18,19,22,26,23,23,20,21,9
nirD,0,7,4,0,1,8,1,3,10,2,3,7,7,11,5,5,0,6,3,5,2,7,8,3,14,21,15,14,4,19,10,16,17,10,6,18,4,20,7
nirK,0,8,10,1,2,12,0,12,14,3,7,8,5,6,9,13,2,6,3,7,2,8,7,8,17,12,15,12,4,21,15,14,9,8,9,6,11,11,13
nirS,0,3,5,1,1,6,0,1,4,0,0,3,0,2,4,5,3,3,1,5,3,1,2,2,6,7,7,8,6,6,4,4,6,4,1,5,5,7,3
nmo,5,31,27,7,4,35,2,17,23,23,24,32,22,40,26,48,8,28,25,27,8,30,42,29,48,65,41,56,38,53,54,36,28,32,36,47,37,57,16
norB,0,0,2,0,0,2,0,3,1,0,5,0,1,2,1,4,2,0,1,2,0,1,2,2,8,2,1,3,2,6,5,6,6,3,5,0,0,0,4
norC,0,0,1,1,1,0,0,1,1,0,1,1,0,4,1,1,0,0,0,5,0,0,5,2,2,2,4,4,1,4,5,0,0,1,2,0,3,5,3
nosZ,0,10,5,1,0,6,0,8,8,3,11,3,3,5,6,15,1,2,4,14,4,5,7,8,13,11,8,17,7,18,9,12,9,3,12,11,13,15,12
nrfA,0,0,1,0,0,2,0,3,3,0,1,1,0,1,4,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1
nrfB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
nrfC,0,4,0,0,0,3,0,2,1,2,4,2,2,1,2,4,1,2,2,11,0,2,3,1,12,14,6,11,10,9,11,6,5,8,7,9,2,7,6
nrfD,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,1,1,0,0,0,0,1,0,2,0
nxrA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0
nxrB,0,0,0,0,0,1,0,3,3,1,0,0,0,1,0,1,1,0,0,0,0,2,0,0,0,2,0,0,0,0,0,1,0,0,0,0,3,0,2
pmoA,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
pmoB,0,1,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,0,1,0,0,0,0,1,2,1,0
pmoC,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
ureA,0,1,1,0,0,1,0,1,2,0,2,1,1,0,2,1,0,2,1,2,1,3,2,1,2,2,2,5,3,5,2,0,3,1,2,0,2,1,4
ureB,0,1,0,0,0,1,0,1,1,0,0,1,2,1,1,1,1,2,1,1,1,0,2,0,3,3,4,5,2,2,6,0,2,0,1,0,2,2,3
ureC,0,3,4,0,1,5,1,6,5,2,6,2,4,6,4,4,6,5,5,4,2,6,10,6,17,15,19,20,12,17,24,14,9,11,10,9,7,14,11
ADE2,1,3,3,1,0,4,0,3,2,1,1,4,2,5,2,5,0,1,2,2,1,3,4,3,4,3,3,10,5,4,6,3,1,2,3,8,4,4,0
RegX3,3,5,30,27,8,38,1,31,17,15,25,31,24,31,29,53,16,16,32,31,9,21,48,15,87,60,47,68,36,62,46,48,41,36,21,34,44,69,29
SenX3,0,4,5,4,2,13,0,6,2,5,5,11,3,6,6,20,3,4,4,7,4,6,10,11,31,21,12,24,14,24,20,14,10,13,6,21,18,22,6
adk,4,5,33,18,9,30,6,27,17,15,22,23,20,28,21,36,25,28,24,30,9,24,32,20,41,43,34,44,26,43,36,36,24,34,19,52,31,46,26
aepP,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
aepW,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
aepX,0,1,0,0,0,0,0,2,1,0,2,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,1,1,0,1
aphA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
appA,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0
cmk,6,12,33,29,7,41,9,40,22,13,42,39,31,55,30,77,18,24,22,49,8,35,47,35,95,90,52,107,59,71,63,67,43,38,43,77,56,76,29
dcd,0,0,3,4,1,7,0,2,3,4,5,4,1,3,6,9,3,7,5,4,1,3,2,1,7,6,6,12,7,11,14,5,7,4,2,2,9,10,0
deoB,2,3,9,3,2,5,2,6,4,5,4,8,3,3,4,6,3,5,7,9,1,2,4,5,8,9,5,5,6,4,7,10,1,2,6,8,5,7,3
dut,2,3,8,9,4,13,4,8,5,5,9,14,9,11,10,10,7,7,3,9,2,10,7,5,16,14,15,23,11,11,15,15,13,13,15,18,14,15,5
fomC,0,0,2,0,0,1,0,0,2,1,1,1,1,0,1,2,1,0,1,0,0,1,0,0,2,2,0,4,2,4,1,3,1,3,0,0,1,3,1
gcd,1,1,5,23,2,18,0,34,39,4,17,8,3,30,24,39,12,18,6,59,10,19,16,21,86,41,52,41,37,108,99,67,100,23,14,4,20,48,47
gdh,3,6,16,12,5,19,3,8,8,4,14,12,8,19,18,20,6,14,14,14,4,18,24,9,43,41,25,53,28,38,34,20,24,29,10,31,27,42,17
glpQ,5,11,17,10,4,22,7,10,9,9,11,24,7,12,17,19,3,7,19,14,8,17,13,18,25,21,20,29,21,22,15,12,15,15,18,32,33,13,12
glpT,1,1,3,3,1,0,1,4,3,0,5,3,1,3,1,6,0,2,2,5,0,7,4,2,13,6,4,4,5,9,8,7,3,2,3,5,6,4,4
gmk,4,4,9,4,4,9,2,6,6,8,12,12,11,10,8,17,9,10,7,11,4,12,9,5,26,19,22,24,20,17,20,24,11,9,14,18,18,15,15
gnd,7,7,30,29,7,28,11,32,17,12,27,15,20,38,23,46,7,24,23,27,10,32,33,17,56,54,47,60,41,52,50,44,29,50,12,46,34,48,19
gnl,2,1,23,16,3,25,2,27,16,12,22,9,6,33,26,22,11,13,14,32,5,9,23,13,68,37,49,59,45,62,56,66,39,29,16,17,16,38,31
gntK,2,8,15,15,2,15,6,7,5,9,10,17,5,13,20,29,4,7,8,21,7,21,24,17,52,65,39,68,26,47,29,34,18,26,20,49,25,47,16
guaA,4,7,35,25,4,33,3,29,23,15,27,30,17,33,29,49,13,26,27,20,7,27,29,19,50,65,37,65,25,51,42,47,32,31,37,35,32,50,21
guaB,2,6,20,18,9,48,3,37,24,12,18,27,23,30,41,70,10,19,21,28,11,19,43,20,65,68,52,55,32,42,46,34,28,31,19,31,38,44,30
htxA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
htxB,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lysR,3,12,10,23,6,9,5,13,13,13,22,25,21,51,9,26,9,8,15,19,15,26,32,24,101,54,77,79,73,81,56,39,49,53,52,45,39,39,20
ndk,4,6,6,10,2,4,4,11,5,5,12,12,4,10,10,13,4,11,9,8,6,11,14,9,20,27,6,22,14,11,15,14,12,11,10,13,15,13,5
nrdA,0,1,1,1,2,6,0,3,3,5,2,9,6,5,9,12,8,8,4,5,3,3,9,5,11,6,8,8,7,7,10,7,3,5,14,6,2,7,4
nrdB,0,0,2,1,0,4,0,2,3,4,0,6,1,2,0,4,1,1,3,0,0,1,0,1,4,4,3,1,2,2,4,5,1,3,8,1,2,3,0
nrdD,2,6,3,2,2,3,2,1,0,1,2,5,4,3,4,1,1,2,2,2,3,5,2,2,6,4,4,1,4,6,2,5,0,4,11,13,7,4,1
nrdE,4,6,4,2,1,0,1,3,2,1,1,6,4,2,0,3,2,2,4,1,2,10,3,10,0,3,0,8,5,4,0,7,2,4,6,10,6,1,0
nrdF,2,3,3,4,2,3,2,1,0,0,2,8,3,5,4,4,2,1,3,3,1,4,3,2,7,3,4,3,4,3,3,1,3,3,7,10,9,2,1
nrdJ,0,1,26,16,0,33,1,17,19,21,18,19,9,20,25,33,14,27,22,31,3,18,29,23,36,29,22,29,25,32,36,42,20,14,17,17,22,30,25
olpA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
opd,0,0,6,1,0,2,0,3,0,1,0,0,0,2,0,1,0,0,0,0,0,0,3,0,5,3,4,1,3,5,8,1,1,0,1,1,1,3,1
pafA,0,0,0,1,0,3,0,1,0,1,2,0,2,0,0,1,0,0,0,1,0,0,0,0,1,2,0,0,0,1,1,0,1,0,0,0,0,0,0
pbfA,0,2,11,18,5,22,1,20,11,6,20,18,13,30,26,40,5,13,8,16,6,11,23,13,56,35,31,39,24,42,36,43,26,18,21,35,28,38,17
pckA,0,0,10,5,1,11,1,5,2,5,9,4,2,13,5,16,3,9,4,6,1,5,3,4,14,9,7,9,3,6,7,11,7,6,6,8,12,9,6
pckG,0,1,8,11,0,10,3,9,9,10,11,17,5,20,12,23,6,9,7,6,4,6,13,14,18,13,19,18,10,17,20,18,15,12,12,6,10,15,10
pepM,1,2,7,6,2,5,2,6,7,3,9,7,5,5,4,12,5,4,8,10,2,7,7,5,15,17,7,10,7,11,16,11,15,13,2,15,10,12,6
pgtA,0,0,0,0,0,1,0,2,0,0,2,0,1,2,1,1,0,2,0,1,0,2,0,1,3,1,2,2,2,3,1,2,3,3,2,0,0,0,0
pgtB,0,1,2,1,0,2,0,0,1,1,0,3,0,1,2,2,0,0,0,0,0,2,0,0,0,1,3,5,4,3,2,1,2,0,2,1,5,4,1
pgtC,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
pgtP,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,4,2,2,2,3,2,1,2,3,0,2,1,1,0,0
phnA,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,2,0,1,2,0,1,2,1,6,1,1,3,3,6,1,2,2,4,1,1,2,2,1
phnC,2,3,4,2,1,6,4,4,2,2,4,6,4,5,5,4,3,4,4,3,2,6,3,5,9,7,6,15,6,10,7,6,1,8,7,12,10,9,6
phnD,0,0,0,4,0,1,0,1,0,0,3,0,1,3,2,4,1,0,0,1,0,0,2,0,1,5,5,3,1,1,0,0,1,0,1,0,0,1,4
phnD_phosphite,1,0,1,1,1,0,1,1,1,0,3,1,2,1,1,0,0,1,1,0,1,1,0,1,5,1,3,1,0,2,0,2,2,1,2,2,3,3,2
phnE,4,7,6,2,2,5,5,5,5,7,2,8,6,7,4,4,5,4,4,6,5,9,6,7,8,13,12,6,7,11,5,7,3,11,11,15,10,12,7
phnF,2,2,12,3,1,6,5,3,4,8,8,10,9,4,6,19,2,9,8,9,2,5,9,9,23,12,19,17,18,15,8,5,7,16,9,15,14,11,4
phnG,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0
phnH,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
phnI,0,0,0,1,0,1,0,3,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,4,1,1,3,0,2,2,2,0,0,0,1,1,0
phnJ,0,0,1,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,3,0,1,0,2,1,2,2,0,0,0,0,0,1,0
phnK,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,1,1,1,1,1,0,0,1,0,1,0,0,2,0
phnL,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0
phnM,1,0,3,3,0,2,0,2,1,2,4,5,2,8,1,2,2,2,0,1,0,9,2,1,6,3,7,3,2,2,5,4,4,1,9,2,4,2,0
phnN,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,2,0,0,2,2,5,2,2,1,1,0,0,2,1,1,0,0,0
phnO,0,1,1,1,0,2,2,1,1,0,1,3,0,4,1,5,0,0,1,1,0,1,1,1,6,9,8,3,5,0,4,1,0,1,5,8,2,1,2
phnP,0,3,3,2,0,5,1,2,0,3,3,5,3,6,1,7,3,2,5,3,1,2,5,1,14,12,7,7,10,10,5,11,8,2,7,5,3,5,4
phnPP,2,0,7,2,1,14,1,6,3,3,2,5,2,4,9,12,3,5,5,3,1,6,7,5,8,13,8,20,4,11,12,7,2,7,4,17,6,12,2
phnR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
phnS,0,1,0,0,0,2,0,5,3,1,3,1,1,0,0,3,1,1,1,1,0,0,0,3,1,1,1,1,1,0,1,2,0,0,1,0,2,4,8
phnT,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
phnU,0,0,0,1,0,2,0,1,0,0,1,0,0,1,1,4,0,2,0,1,0,0,2,2,2,2,1,6,1,3,0,0,2,0,0,0,0,2,3
phnV,0,2,3,0,0,3,0,2,2,1,2,3,2,3,3,2,0,2,0,3,2,5,3,3,2,2,1,2,4,5,2,2,1,1,2,3,6,4,5
phnW,5,7,10,19,0,14,6,12,11,5,15,13,10,24,12,28,12,12,12,24,10,19,21,18,42,39,21,44,23,36,32,23,32,26,18,31,33,29,24
phnX,1,2,3,0,2,1,1,0,1,0,0,2,0,2,0,2,0,2,1,1,1,4,1,3,4,2,7,8,3,6,1,8,1,3,0,3,4,1,0
phnY,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0
phnZ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
phny,0,0,4,1,0,3,1,7,1,1,2,2,1,2,1,2,2,0,3,0,2,1,6,0,8,6,4,4,4,5,3,10,8,2,1,2,1,1,4
phoA,0,5,3,4,0,1,2,5,1,2,2,6,3,4,0,6,2,1,0,2,0,4,3,4,2,5,4,3,7,2,1,1,2,1,7,8,6,3,4
phoB,7,45,129,118,20,133,20,147,108,46,147,129,106,204,128,215,64,83,56,204,39,108,147,93,491,343,332,414,274,510,363,288,303,203,174,265,182,319,162
phoC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0
phoD,0,1,6,6,3,13,1,11,7,2,7,7,4,16,5,6,3,3,2,10,0,4,13,2,10,8,15,13,3,9,4,5,8,3,5,7,14,10,12
phoH,1,3,9,8,2,9,4,9,12,5,10,9,8,14,10,18,4,7,8,14,5,6,14,5,10,9,16,15,10,20,16,12,6,7,15,6,11,13,12
