,S001,S009,S005,S008,S010,S011,S013,S019,S018,S021,S023,S024,S025,S026,S027,S028,S029,S034,S033,S037,S044,S046,S049,S064,S065,S066,S069,S070,S072,S081,S082,S083,S084,S086,S090,S094,S098,S100,S107
fdm,0,2,3,3,0,7,0,1,1,5,1,4,2,5,9,6,2,3,2,4,0,2,6,1,9,12,5,17,10,12,9,7,5,5,7,6,4,10,0
fdoG,0,2,12,12,0,12,0,15,15,5,16,5,8,17,11,30,9,7,14,20,7,12,31,11,40,46,24,51,23,26,23,18,34,27,16,21,19,34,20
fdoH,1,0,6,3,0,3,0,4,0,4,3,2,5,1,4,4,0,1,6,11,2,7,10,2,13,23,14,20,13,18,10,4,8,11,1,15,10,19,5
fdoI,0,0,2,2,1,0,0,0,0,0,1,0,1,1,2,4,1,0,1,8,0,0,0,0,3,4,3,5,4,14,3,3,3,2,2,0,2,1,0
fdsD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,1,1,1,0,0,0,0
fdwB,0,1,14,11,2,17,1,9,11,6,15,12,3,22,16,19,6,13,6,8,0,10,15,7,27,24,25,33,16,25,21,30,22,19,6,14,8,11,16
fghA,0,2,2,1,1,1,3,0,2,2,2,5,2,6,1,3,0,1,2,2,2,3,1,3,7,2,6,5,6,6,2,5,2,3,9,8,10,3,5
fmdB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fmdC,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
folA,5,9,26,26,6,39,8,19,23,23,31,40,33,41,25,56,10,23,22,44,7,38,38,28,81,73,58,73,58,56,57,59,44,32,42,66,44,47,35
fpoA,0,2,2,6,1,6,0,5,3,2,3,3,2,4,4,11,1,3,3,9,1,3,4,2,6,7,4,10,8,5,8,6,5,8,0,3,7,9,4
fpoB,2,5,17,19,5,14,5,17,12,12,11,22,10,16,15,20,7,17,12,12,4,20,17,12,28,27,17,38,26,26,16,22,9,19,21,22,21,25,11
fpoC,0,0,1,1,1,7,0,9,4,2,5,3,4,7,3,14,1,5,3,6,0,4,4,5,9,8,11,6,3,16,7,7,3,6,5,6,2,9,9
fpoD,0,0,8,6,3,17,1,11,8,13,13,9,9,11,16,12,7,11,6,14,5,10,12,9,15,11,10,17,9,11,17,10,7,12,6,11,14,16,8
fpoH,0,1,10,6,2,14,0,10,6,5,8,10,8,8,10,19,6,12,9,17,3,6,11,15,19,12,6,15,11,26,22,17,13,15,6,9,12,15,9
fpoI,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
fpoJ,0,0,5,4,0,7,0,8,6,3,3,4,2,5,3,10,5,2,2,4,1,6,5,2,8,10,6,11,5,10,9,10,9,3,3,9,12,8,6
fpoK,0,1,4,6,0,5,0,5,3,3,6,2,6,3,2,8,3,2,5,4,1,8,6,4,6,15,6,8,6,13,7,6,8,8,2,10,3,6,1
fpoL,0,1,16,11,2,17,0,18,4,8,16,10,2,22,13,27,9,9,10,17,6,10,21,5,36,24,18,27,12,34,19,33,18,10,13,19,13,29,13
fpoM,0,0,12,19,2,6,0,27,14,7,13,8,8,14,8,24,6,7,4,21,4,10,9,8,31,29,17,29,14,35,31,21,22,14,8,22,8,23,20
fpoN,0,4,7,5,0,11,0,11,4,3,7,3,3,7,13,18,5,4,7,12,0,8,5,5,17,16,10,14,9,14,9,12,9,6,5,17,18,10,10
fqoD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
fqoH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fqoL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
frhA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2,1,0,0,1,0,0,1,0,0,0,0,0
frhB,0,0,3,0,0,1,0,0,1,1,0,0,0,0,2,1,0,0,4,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,3,0,0
frhD,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,3,4,0,4,3,2,1,4,1,0,1,0,0
frhG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
frmA,3,10,32,29,6,34,4,25,29,22,39,28,14,51,37,56,27,25,16,25,10,29,42,28,68,76,45,69,43,50,62,66,37,47,37,55,42,59,30
frmB,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,2,0,1,0,1,0,0,0,0,1,1,2,1,0,2,1,0,2,0,3,2,1,0,0
ftr,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,2,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0
fwdB,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,2,0,0,1,0,0,0,0,0,0,1,0
fwdC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
gck,0,1,0,2,0,1,0,2,5,0,0,1,1,4,0,2,1,3,1,9,0,3,0,5,10,13,6,7,5,13,7,14,7,0,3,1,1,3,4
gfa,0,0,1,3,0,3,0,3,3,1,5,2,3,3,5,7,0,3,2,6,0,4,2,1,7,4,0,5,3,5,4,2,4,1,1,6,4,6,3
glpX,2,5,11,12,2,13,3,11,10,13,15,15,12,19,19,24,7,14,14,23,7,18,27,9,22,27,20,36,19,18,28,23,22,25,21,23,21,25,6
glyA,4,17,44,48,10,40,6,33,22,32,40,57,28,61,41,92,23,30,37,42,19,35,42,36,116,97,114,102,84,103,52,93,68,61,89,87,49,91,38
gpmB,1,4,10,23,5,25,4,13,6,8,9,22,8,16,8,26,5,13,11,14,2,23,22,13,29,31,20,54,21,33,33,16,11,19,18,46,32,32,6
gpmI,0,2,6,11,2,9,2,9,3,8,11,7,7,12,15,16,6,5,4,10,5,5,14,4,18,20,21,26,17,18,14,23,10,11,7,16,9,19,17
hdrA1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,2,0,0,1,0,4,1,1,2,1,4,1,0,0,0,1,0,2,0,0
hdrA2,1,0,2,4,0,3,0,4,0,1,1,2,4,3,7,7,3,3,2,7,1,1,4,5,13,12,8,12,7,12,6,10,6,7,5,4,7,6,2
hdrB1,0,0,1,0,0,2,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1
hdrB2,0,0,1,1,0,2,0,0,0,0,0,2,0,3,2,3,0,0,1,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,1,0,1,1,1
hdrC1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0
hdrC2,0,0,1,1,0,1,0,1,0,0,2,1,0,3,2,3,1,5,1,0,0,0,3,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1
hdrD,0,2,13,5,0,17,2,6,4,5,7,16,5,4,10,11,7,10,6,10,3,8,16,15,15,19,8,33,12,13,13,17,12,10,7,19,14,23,8
hdrE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hmd,0,0,0,0,0,1,0,1,1,0,0,1,2,2,0,0,1,0,0,3,1,2,0,0,3,3,2,0,1,1,1,0,1,0,2,1,1,0,0
